X,Y
-897.7598619002367,455.3488747540822
-898.7248992462996,455.6624983354837
-897.0227664753362,455.22006508567534
-898.5474145299315,455.5073946733396
-898.6812921295336,452.365795810428
-898.8249292742081,454.29284176308
-897.2317032222222,454.05081500547544
-898.323165480654,453.1906432210506
-899.6371366241107,454.45589250991674
-897.8837562060448,454.0262885499634
-899.6051047422261,455.1386627523458
-899.1757577374791,453.7766966562313
-896.3850956744831,452.96524812048517
-897.4642620250216,453.9547731567056
-898.0822181349192,455.5171035491931
-896.7038040071311,453.75445843954105
-897.0607050505448,453.6376378019117
-897.9887274968125,453.15761665797305
-895.6137058908562,454.58343023069153
-897.8526035158745,454.2656337112536
-897.1431590466453,453.7185031628306
-897.5141034890778,457.2359496632656
-898.1565629923323,453.95955443716457
-898.439816507509,452.3749338919572
-898.2517506563802,451.5977350417884
-897.4784559318776,457.0992321118312
-898.0327783340634,452.13717112611494
-897.5814421751123,453.49623064419103
-899.2329336024999,454.29432917839137
-897.946342016036,454.90857601356873
-898.4975698661567,453.0015332749696
-898.1951794371215,455.107494252965
-897.3178471736081,455.69466347403215
-898.9568283568128,455.6946390393924
-899.6901269645906,453.19246041531153
-897.1046739793478,452.5547293444273
-897.5897582278596,453.4982375987495
-896.0971082967479,454.1347407871974
-898.6564872636935,454.80613037128467
-897.4727098979905,453.6157235329095
-897.1381593503747,453.21881738411366
-899.753160183409,453.64828268834134
-897.83988812471,453.0526275138127
-897.2159414059183,453.355831575703
-898.3776864765956,455.3945859447115
-896.9281658771752,454.0391232983799
-899.3843147159682,454.1421935039955
-897.0302153327185,454.5276416567058
-896.9980875739158,451.9395125018202
-898.5532113721002,453.4753040815362
-897.0531863587487,453.95681001470706
-898.9134247101899,453.35577697055635
-897.3682955255406,455.5337367908941
-898.0676801414352,453.3072413367487
-898.630458382361,453.60117008587804
-896.1358064823293,452.84587358757017
-897.895761814818,452.2682148568506
-898.9257382922344,453.24979177393936
-897.381051097954,454.50904228250585
-898.5272563761577,454.5912349421674
-897.0449741886559,454.0180973710331
-898.9174260746065,454.47474485260364
-897.4774083847116,454.0649201731436
-898.9716637227342,454.0313301893099
-898.9508792217931,454.6953214659206
-897.8566354096158,455.8938763533416
-898.3895743082468,452.76989371328926
-898.8371393072485,454.4729858608092
-898.143853137699,456.7453129022133
-898.8783180793826,454.744411617252
-897.1246181738161,454.4690877755748
